from,to,count1,count2,intersection,similarity
Whale_shark,Fish,437,1019,409,0.9359267734553776
1_Ceres,Asteroid,136,1922,125,0.9191176470588235
Cinema_of_the_United_States,United_States,331,12421,300,0.9063444108761329
Education_in_the_United_States,United_States,166,12421,148,0.891566265060241
Physical_science,Science,161,1893,133,0.8260869565217391
The_Lion_King,Animation,285,384,233,0.8175438596491228
World_Wide_Web,Internet,567,1471,463,0.8165784832451499
Bald_Eagle,United_States,212,12421,173,0.8160377358490566
"Martin_Luther_King,_Jr.",United_States,124,12421,101,0.8145161290322581
Salsa_music,Mexico,150,1206,122,0.8133333333333334
