gds.util.asNode(nodeId).categories,triangleCount
"[Science,Chemistry,Chemical_elements]",9057
"[History,General_history]",5907
"[Science,Physics,Space_Astronomy]",5371
"[Citizenship,Politics_and_government]",4951
"[Science,Physics,General_Physics]",3211
"[Religion,Religious_movements_traditions_and_organizations]",2533
"[History,Military_History_and_War]",2367
"[Science,Biology,General_Biology]",2205
"[People,Political_People]",2126
"[Science,Chemistry,General_Chemistry]",2103
"[People,USA_Presidents]",2078
"[Language_and_literature,Languages]",1999
"[Science,Biology,Mammals]",1814
"[History,British_History,British_History_Post_1900]",1755
"[Science,Physics,The_Planets]",1604
"[History,Ancient_History_Classical_History_and_Mythology]",1603
"[Religion,Philosophy]",1425
"[Everyday_life,Food_and_agriculture]",1417
"[Science,Biology,Plants]",1310
"[People,Philosophers]",1300
"[History,Recent_History]",1281
"[Science,Biology,Dinosaurs]",1140
"[Science,Biology,Insects_Reptiles_and_Fish]",1139
"[History,World_War_II]",1108
"[Science,Physics,Electricity_and_Electronics]",1093
"[Everyday_life,Food_and_agriculture,Science,Biology,Plants]",1092
"[Science,Biology,Evolution_and_reproduction,Science,Biology,General_Biology]",1086
"[Science,Biology,Health_and_medicine]",1034
"[Science,Biology,Birds]",985
"[People,Historical_figures]",976
"[People,Astronomers_and_physicists]",887
"[Science,Chemistry,Chemical_compounds]",883
"[Design_and_Technology,Engineering]",880
"[History,British_History,British_History_15001750,People,Monarchs_of_Great_Britain]",841
"[People,Writers_and_critics]",791
"[Science,Chemistry,Chemical_elements,Science,Chemistry,General_Chemistry]",763
"[Citizenship,Law]",698
[Mathematics],685
"[People,Performers_and_composers]",653
"[People,Religious_figures_and_leaders]",645
"[Art,Art]",625
"[Design_and_Technology,Architecture]",601
"[Everyday_life,Everyday_life]",540
"[Music,Musical_genres_styles_eras_and_events]",529
"[Business_Studies,Economics]",519
"[Religion,Divinities]",430
"[People,Mathematicians]",413
"[History,British_History,British_History_1500_and_before_including_Roman_Britain,People,Monarchs_of_Great_Britain]",400
"[Science,Physics,Space_transport]",393
"[Music,Musical_Instruments]",383
"[Citizenship,Culture_and_Diversity]",382
"[People,Monarchs_of_Great_Britain]",373
"[History,Ancient_History_Classical_History_and_Mythology,History,British_History,British_History_1500_and_before_including_Roman_Britain]",372
"[People,Human_Scientists]",371
"[History,British_History,British_History_Post_1900,People,Political_People]",369
"[Science,Chemistry,Materials_science]",360
"[Citizenship,Education]",347
"[Science,Biology,Organisms]",331
"[Everyday_life,Sports_events]",328
"[Language_and_literature,Theatre,People,Writers_and_critics]",326
"[IT,Software]",324
"[Language_and_literature,Poetry_and_Opera]",296
"[Science,Biology,Evolution_and_reproduction]",273
"[Language_and_literature,Linguistics]",272
"[History,British_History,British_History_1500_and_before_including_Roman_Britain]",271
"[History,British_History,British_History_Post_1900,People,Monarchs_of_Great_Britain]",271
"[History,British_History]",268
"[History,British_History,British_History_15001750]",268
"[People,Sports_and_games_people]",266
"[Language_and_literature,Literature_types]",263
"[History,Pre_1900_Military]",259
"[People,Artists]",256
"[Religion,Religious_texts]",254
"[Business_Studies,Currency]",252
"[Everyday_life,Sports]",242
"[History,British_History,British_History_17501900]",234
"[Citizenship,Culture_and_Diversity,Citizenship,Politics_and_government]",221
"[Language_and_literature,General_Literature]",217
"[Religion,Myths]",217
"[Everyday_life,Recreation]",212
"[People,Military_People]",211
"[People,Chemists]",199
"[Everyday_life,Films]",198
"[Everyday_life,Drink]",189
"[People,Astronomers_and_physicists,People,Engineers_and_inventors]",186
"[History,North_American_History]",175
"[History,British_History,British_History_17501900,People,Monarchs_of_Great_Britain]",168
"[IT,Computing_hardware_and_infrastructure]",166
"[Language_and_literature,Novels]",158
"[Design_and_Technology,Engineering,Everyday_life,Television]",156
"[Religion,Divinities,People,Religious_figures_and_leaders]",143
"[Business_Studies,Business]",142
"[History,British_History,Science,Physics,General_Physics]",140
"[Citizenship,Conflict_and_Peace]",133
"[Citizenship,Animal_and_Human_Rights]",132
"[Design_and_Technology,Railway_transport]",131
"[People,Performers_and_composers,Language_and_literature,Poetry_and_Opera]",130
"[History,British_History,History,General_history]",129
"[Citizenship,Community_organisations,Citizenship,Politics_and_government]",128
"[Music,Performers_and_composers]",126
"[IT,Websites_and_the_Internet]",122
"[History,Recent_History,History,World_War_II]",120
"[Citizenship,Environment]",109
"[Religion,Religious_disputes]",108
"[Science,Biology,General_Biology,Science,Biology,Plants]",105
"[Citizenship,Environment,Religion,Philosophy]",102
"[Citizenship,Environment,Science,Biology,General_Biology]",100
"[People,Engineers_and_inventors]",98
"[Design_and_Technology,Air_and_Sea_transport]",96
"[People,Actors_models_and_celebrities]",95
"[Everyday_life,Television]",94
"[Language_and_literature,Literature_types,Language_and_literature,Poetry_and_Opera]",94
"[Citizenship,Media,Everyday_life,Television]",91
"[Everyday_life,Food_and_agriculture,Science,Chemistry,General_Chemistry]",89
"[Religion,Myths,Religion,Religious_disputes]",88
"[People,Political_People,History,World_War_II]",80
"[History,Ancient_History_Classical_History_and_Mythology,People,Historical_figures]",79
"[Everyday_life,Games]",78
"[History,Pre_1900_Military,Religion,Religious_disputes]",76
"[Citizenship,Community_organisations]",75
"[Citizenship,Media,IT,Websites_and_the_Internet]",75
"[Art,Art,History,General_history]",73
"[Science,Physics,Space_Astronomy,Science,Physics,The_Planets]",73
"[Citizenship,Media]",71
"[IT,Computer_Programming]",71
"[Everyday_life,Sports_teams]",71
"[Language_and_literature,Theatre]",70
"[Everyday_life,Computer_and_Video_games]",68
"[Science,Physics,General_Physics,Science,Physics,Space_Astronomy]",67
"[History,British_History,British_History_1500_and_before_including_Roman_Britain,History,British_History,British_History_15001750,People,Monarchs_of_Great_Britain]",64
"[People,Geographers_and_explorers]",64
"[Business_Studies,Economics,People,Historical_figures]",62
"[Business_Studies,Companies]",59
"[History,Historians_chroniclers_and_history_books]",59
"[Religion,Religious_disputes,Science,Physics,Space_Astronomy]",59
"[History,British_History,Citizenship,Politics_and_government]",52
"[Science,Biology,Evolution_and_reproduction,Religion,Religious_disputes]",51
"[History,British_History,British_History_Post_1900,People,Human_Scientists]",51
"[People,Historical_figures,People,Monarchs_of_Great_Britain]",51
"[Citizenship,Animal_and_Human_Rights,Citizenship,Culture_and_Diversity]",50
"[History,Archaeology]",50
"[People,Computing_People]",50
"[Everyday_life,Cartoons]",49
"[IT,Computing_hardware_and_infrastructure,Science,Physics,Electricity_and_Electronics]",49
"[People,Military_People,People,USA_Presidents]",46
